"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Clark","EVERGREEN SCHOOL DISTRICT NO. 114 SCHOOL DIRECTOR, DISTRICT NO. 5","James (Jimmy Tee) Taylor ","","1297","9.5586","School"
"Clark","HOCKINSON SCHOOL DISTRICT NO. 98 SCHOOL DIRECTOR, DISTRICT NO. 5","Lorin Erickson ","","346","23.7637","School"
"Clark","HOCKINSON SCHOOL DISTRICT NO. 98 SCHOOL DIRECTOR, DISTRICT NO. 5","Scott Swindell","","455","31.25","School"
"Clark","HOCKINSON SCHOOL DISTRICT NO. 98 SCHOOL DIRECTOR, DISTRICT NO. 5","Gordon Smith","","655","44.9863","School"
"Clark","VANCOUVER SCHOOL DISTRICT NO. 37 SCHOOL DIRECTOR, POSITION NO. 2","Shantel Okorie","","1979","11.9073","School"
"Clark","VANCOUVER SCHOOL DISTRICT NO. 37 SCHOOL DIRECTOR, POSITION NO. 2","Anthony R. Licerio","","2190","13.1769","School"
"Clark","VANCOUVER SCHOOL DISTRICT NO. 37 SCHOOL DIRECTOR, POSITION NO. 2","Mark F. Stoker","","12451","74.9158","School"
"Clark","CLARK REGIONAL WASTEWATER DISTRICT COMMISSIONER, POSITION NO. 3","Denny Kiggins","","6331","57.8596","Sewer"
"Clark","CLARK REGIONAL WASTEWATER DISTRICT COMMISSIONER, POSITION NO. 3","Charles (Chuck) McDonald","","2284","20.8737","Sewer"
"Clark","CLARK REGIONAL WASTEWATER DISTRICT COMMISSIONER, POSITION NO. 3","Jim West ","","2327","21.2667","Sewer"
"Clark","CLARK COUNTY FIRE AND RESCUE Proposition No. 1 Levy Lid Lift Authorizing Restoration of Previous Property Tax Levy","Approved","","4119","66.4891","Fire"
"Clark","CLARK COUNTY FIRE AND RESCUE Proposition No. 1 Levy Lid Lift Authorizing Restoration of Previous Property Tax Levy","Rejected","","2076","33.5109","Fire"
"Clark","NC EMERGENCY MEDICAL SERVICES 1 PROPOSITION NO. 2 EMERGENCY MEDICAL PROGRAM EXCESS LEVY","TAX LEVY...YES","","2228","80.4332","EMS"
"Clark","NC EMERGENCY MEDICAL SERVICES 1 PROPOSITION NO. 2 EMERGENCY MEDICAL PROGRAM EXCESS LEVY","TAX LEVY...NO","","542","19.5668","EMS"
"Cowlitz","CITY OF KELSO Council Position #2","Michael Karnofski","","522","45.5895","City/Town"
"Cowlitz","CITY OF KELSO Council Position #2","Lisa (Knight) Alexander","","395","34.4978","City/Town"
"Cowlitz","CITY OF KELSO Council Position #2","Gary Schimmel","","228","19.9127","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position #5","Megan Richie","","1127","27.361","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position #5","George Brajcich","","748","18.1597","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position #5","MaryAlice L. Wallis","","2244","54.4792","City/Town"
"Cowlitz","CITY OF WOODLAND Council Position #3","Dave Plaza","","230","41.6667","City/Town"
"Cowlitz","CITY OF WOODLAND Council Position #3","Nate Cook","","224","40.5797","City/Town"
"Cowlitz","CITY OF WOODLAND Council Position #3","Keith Bellisle","","98","17.7536","City/Town"
"Cowlitz","CITY OF WOODLAND Council Position #6","Michael Wheaton","","75","12.8645","City/Town"
"Cowlitz","CITY OF WOODLAND Council Position #6","Benjamin Fredricks","","352","60.3774","City/Town"
"Cowlitz","CITY OF WOODLAND Council Position #6","Jeremy Heffernan","","156","26.7581","City/Town"
"Cowlitz","LONGVIEW SCHOOL DISTRICT NO. 122 Director Position #2","James H. Norton","","759","15.3987","School"
"Cowlitz","LONGVIEW SCHOOL DISTRICT NO. 122 Director Position #2","Phil Jurmu","","2619","53.1345","School"
"Cowlitz","LONGVIEW SCHOOL DISTRICT NO. 122 Director Position #2","Norma McKittrick","","1551","31.4668","School"
"Cowlitz","FIRE PROTECTION DISTRICT 1 Commissioner Position #1","Tiffany Palmer","","101","15.0522","Fire"
"Cowlitz","FIRE PROTECTION DISTRICT 1 Commissioner Position #1","Dean Boon","","242","36.0656","Fire"
"Cowlitz","FIRE PROTECTION DISTRICT 1 Commissioner Position #1","Jim Kellar","","328","48.8823","Fire"
"Cowlitz","CITY OF CASTLE ROCK Proposition 1 ","Approved","","229","68.5629","City/Town"
"Cowlitz","CITY OF CASTLE ROCK Proposition 1 ","Rejected","","105","31.4371","City/Town"
